,Image,F1,Jaccard,Recall,Precision
3554,.\files\images\heart28-slice554_saggital.png,1.0,1.0,1.0,1.0
3555,.\files\images\heart28-slice555_saggital.png,1.0,1.0,1.0,1.0
3556,.\files\images\heart28-slice556_saggital.png,1.0,1.0,1.0,1.0
3557,.\files\images\heart28-slice557_saggital.png,1.0,1.0,1.0,1.0
3558,.\files\images\heart28-slice558_saggital.png,1.0,1.0,1.0,1.0
3559,.\files\images\heart28-slice559_saggital.png,1.0,1.0,1.0,1.0
3560,.\files\images\heart28-slice560_saggital.png,1.0,1.0,1.0,1.0
3561,.\files\images\heart28-slice561_saggital.png,1.0,1.0,1.0,1.0
3562,.\files\images\heart28-slice562_saggital.png,1.0,1.0,1.0,1.0
3563,.\files\images\heart28-slice563_saggital.png,1.0,1.0,1.0,1.0
3564,.\files\images\heart28-slice564_saggital.png,1.0,1.0,1.0,1.0
3565,.\files\images\heart28-slice565_saggital.png,1.0,1.0,1.0,1.0
3566,.\files\images\heart28-slice566_saggital.png,1.0,1.0,1.0,1.0
3567,.\files\images\heart28-slice567_saggital.png,1.0,1.0,1.0,1.0
3568,.\files\images\heart28-slice568_saggital.png,1.0,1.0,1.0,1.0
3569,.\files\images\heart28-slice569_saggital.png,1.0,1.0,1.0,1.0
3570,.\files\images\heart28-slice570_saggital.png,1.0,1.0,1.0,1.0
3571,.\files\images\heart28-slice571_saggital.png,1.0,1.0,1.0,1.0
3572,.\files\images\heart28-slice572_saggital.png,1.0,1.0,1.0,1.0
3573,.\files\images\heart28-slice573_saggital.png,1.0,1.0,1.0,1.0
3574,.\files\images\heart28-slice574_saggital.png,1.0,1.0,1.0,1.0
3575,.\files\images\heart28-slice575_saggital.png,1.0,1.0,1.0,1.0
3576,.\files\images\heart28-slice576_saggital.png,1.0,1.0,1.0,1.0
3577,.\files\images\heart28-slice577_saggital.png,1.0,1.0,1.0,1.0
